x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y,x19,x20
0.874,-0.467,0.719,0.468,-0.079,0.584,0.705,-0.579,-1.193,1.204,7.26,-0.221,1.443,-6.049,6.83,0.16,0.464,0.69,1.0,-1.092,-1.141
0.714,-0.083,0.791,0.84,-0.39,0.693,1.009,-0.85,-0.946,2.396,9.046,-0.302,1.107,-7.427,7.606,0.403,0.225,0.922,1.0,-0.743,-1.333
0.693,-0.559,0.636,0.529,-0.085,0.243,1.079,-0.522,-1.276,1.586,7.792,0.043,1.213,-6.596,8.005,0.502,0.5,0.655,1.0,-1.071,-0.828
0.547,-0.31,0.595,0.747,-0.101,0.726,1.327,-0.825,-0.872,2.598,9.411,0.021,0.926,-7.348,7.707,0.482,0.421,0.894,1.0,-0.51,-1.248
0.868,-0.681,0.742,0.898,-0.243,0.818,1.139,-0.814,-1.023,3.174,9.963,-0.292,1.32,-7.647,7.662,0.276,0.515,0.669,1.0,-0.659,-1.342
0.664,-0.524,0.819,0.977,-0.232,0.616,1.303,-0.487,-0.96,3.626,10.337,-0.156,1.042,-7.157,7.791,0.34,0.527,0.856,1.0,-0.825,-1.073
0.922,-0.501,0.779,0.576,-0.113,0.832,1.244,-0.565,-1.177,2.57,9.226,-0.483,1.035,-7.501,7.678,0.424,0.494,0.875,1.0,-0.975,-1.505
0.436,-0.008,0.688,0.406,-0.026,0.488,1.069,-0.933,-0.809,1.672,8.267,-0.022,1.128,-7.276,8.021,0.396,0.167,0.907,1.0,-0.608,-0.889
0.694,-0.894,0.786,0.966,-0.236,1.079,1.308,-0.532,-1.162,2.731,9.471,-0.198,1.066,-6.937,7.042,0.397,0.592,0.927,1.0,-0.798,-1.742
0.632,-0.574,0.471,0.71,-0.177,0.8,1.043,-0.687,-1.076,2.287,9.095,-0.028,1.101,-7.556,7.898,0.198,0.215,0.843,1.0,-0.782,-1.344
0.873,-0.218,0.29,0.839,-0.311,0.133,1.144,-0.883,-0.908,2.337,8.473,-0.143,1.292,-6.765,7.783,0.533,0.03,0.94,1.0,-0.696,-0.635
0.792,-0.067,0.732,0.418,-0.203,1.223,1.332,-1.037,-1.082,3.013,10.359,-0.123,1.316,-8.362,8.043,0.274,0.139,0.88,1.0,-0.461,-1.749
0.617,-1.059,0.543,0.962,-0.104,0.615,0.931,-0.171,-1.19,2.37,9.317,0.037,1.101,-7.1,7.85,0.209,0.595,0.852,1.0,-0.892,-1.109
0.642,-0.032,0.721,0.552,-0.435,0.82,0.816,-0.982,-0.957,1.717,8.547,-0.247,1.216,-7.423,7.342,0.02,0.073,0.735,1.0,-0.656,-1.373
0.424,-0.071,0.512,0.642,-0.329,0.271,1.262,-1.109,-0.759,1.744,7.634,-0.166,1.218,-6.48,7.155,0.537,0.175,0.864,1.0,-0.618,-0.856
0.953,-0.534,0.265,0.529,0.082,0.372,1.294,-0.579,-1.128,2.956,8.928,-0.226,1.296,-6.633,7.472,0.55,0.096,0.916,1.0,-0.955,-1.01
0.952,-0.174,0.464,0.574,-0.161,0.045,1.19,-0.79,-0.885,2.421,8.31,-0.304,1.144,-6.564,7.983,0.494,0.215,0.739,1.0,-1.087,-0.604
0.556,-0.158,0.821,1.163,-0.455,1.324,1.0,-1.111,-0.629,2.389,10.447,-0.521,0.994,-8.661,8.013,0.11,0.192,1.011,1.0,-0.56,-1.783
0.714,-0.242,0.612,0.525,-0.359,0.548,0.813,-0.636,-1.109,1.21,7.264,-0.014,1.021,-6.613,7.557,0.178,0.306,0.85,1.0,-0.851,-0.988
0.743,-0.758,0.439,0.797,0.092,0.222,1.427,-0.335,-1.078,3.227,8.479,0.098,1.252,-5.451,6.792,0.517,0.495,0.855,1.0,-1.116,-0.705
0.634,-0.014,0.67,0.473,-0.046,0.558,1.232,-0.906,-0.907,3.041,9.135,-0.092,1.236,-7.188,7.997,0.841,0.226,0.766,1.0,-0.689,-0.905
0.624,-0.245,0.75,0.691,-0.234,0.309,1.127,-0.888,-0.835,1.836,8.641,-0.139,1.049,-7.368,8.029,0.244,0.307,0.961,1.0,-0.794,-0.873
0.649,-0.741,0.733,1.029,-0.377,0.842,1.074,-0.401,-0.96,2.859,9.953,-0.323,1.258,-7.925,8.053,0.42,0.393,0.894,1.0,-0.72,-1.469
0.903,-1.095,0.74,0.951,-0.32,0.623,1.244,-0.354,-1.362,3.088,9.566,-0.175,1.027,-7.115,7.979,0.451,0.627,0.773,1.0,-1.142,-1.149
0.819,-1.009,0.72,0.843,-0.134,0.693,1.117,-0.37,-1.348,2.818,9.006,-0.021,1.065,-6.804,7.502,0.197,0.516,0.791,1.0,-1.099,-1.226
0.981,-0.393,0.378,0.408,0.012,0.021,0.89,-0.489,-1.022,1.485,7.186,-0.375,1.012,-6.149,7.826,0.221,0.149,0.791,1.0,-1.208,-0.54
0.798,-0.595,0.82,0.599,-0.125,0.598,1.283,-0.48,-1.135,2.972,8.863,0.03,1.19,-6.606,7.413,0.379,0.458,0.867,1.0,-0.894,-1.041
0.848,-0.0,0.463,0.393,-0.109,0.497,1.345,-0.67,-0.78,3.075,8.774,-0.156,1.205,-7.058,7.407,0.631,0.031,1.087,1.0,-0.812,-1.191
0.596,-0.461,0.851,1.04,-0.621,1.262,0.962,-0.79,-1.096,2.156,9.879,-0.112,1.165,-8.235,7.872,0.157,0.429,0.69,1.0,-0.692,-1.747
0.795,-0.376,0.885,0.721,-0.344,0.428,0.9,-0.692,-1.131,1.879,7.627,-0.041,1.24,-6.144,7.748,0.01,0.418,0.76,1.0,-1.237,-0.862
0.932,-0.33,0.521,0.558,0.075,0.168,1.084,-0.541,-0.974,2.689,8.49,-0.168,1.064,-6.486,7.874,0.407,0.218,0.891,1.0,-1.049,-0.747
0.669,-0.675,0.878,0.759,-0.026,0.513,1.256,-0.527,-1.087,3.036,9.107,0.093,1.161,-6.414,7.498,0.647,0.515,0.697,1.0,-0.924,-0.989
0.728,-0.321,0.576,0.532,-0.093,0.276,1.093,-0.585,-0.965,1.397,7.662,-0.19,1.171,-6.891,7.982,0.533,0.212,0.806,1.0,-0.909,-0.708
0.827,-0.257,0.685,0.426,-0.108,0.498,1.145,-0.776,-1.026,2.088,8.402,0.01,1.154,-6.947,7.744,0.381,0.257,0.722,1.0,-0.782,-1.138
0.798,-0.526,0.878,0.675,-0.117,0.533,1.04,-0.653,-1.137,1.86,8.496,0.084,1.122,-6.842,7.566,0.4,0.58,0.602,1.0,-0.801,-1.186
0.85,-0.744,0.471,0.973,-0.135,0.599,0.81,-0.288,-1.325,2.247,9.137,-0.151,0.96,-7.178,7.986,-0.086,0.451,0.742,1.0,-0.995,-1.127
0.662,-0.572,0.759,0.709,-0.002,0.197,0.856,-0.461,-1.268,2.28,8.512,0.207,1.236,-6.472,8.043,0.406,0.462,0.812,1.0,-1.236,-0.712
1.136,-0.282,0.536,0.537,-0.09,0.428,1.451,-0.644,-1.072,2.49,9.198,-0.043,0.988,-7.189,7.991,0.628,0.297,0.806,1.0,-0.844,-1.138
0.835,-0.579,0.774,0.725,-0.228,0.632,1.267,-0.437,-1.057,2.275,8.623,-0.223,1.026,-6.915,7.732,0.457,0.549,0.883,1.0,-0.973,-1.034
0.633,0.208,0.355,0.787,-0.329,0.53,1.135,-0.939,-0.699,1.721,8.621,-0.126,1.183,-7.327,7.983,0.488,-0.028,0.908,1.0,-0.654,-1.084
0.882,-0.571,0.666,0.709,-0.179,0.519,1.032,-0.445,-1.252,2.513,8.745,-0.055,1.117,-6.604,7.552,0.274,0.498,0.837,1.0,-0.963,-0.918
0.58,-0.549,0.639,0.726,-0.268,0.531,0.984,-0.639,-1.114,2.547,8.758,-0.061,1.251,-6.892,7.6,0.336,0.433,1.013,1.0,-0.863,-1.081
0.664,-0.588,0.762,0.648,-0.153,0.404,1.255,-0.544,-1.131,3.069,9.214,-0.278,1.068,-6.834,7.842,0.609,0.481,0.957,1.0,-0.993,-0.884
0.578,-0.465,0.775,0.633,-0.162,1.066,1.389,-0.921,-0.965,2.887,10.117,-0.299,1.13,-7.9,7.991,0.395,0.352,0.844,1.0,-0.548,-1.456
0.657,-0.029,0.53,0.887,-0.435,0.982,1.025,-0.933,-0.808,2.069,9.637,-0.367,1.121,-8.278,7.99,0.15,0.111,0.819,1.0,-0.403,-1.5
0.48,-0.128,0.64,0.831,-0.285,0.728,1.173,-0.963,-0.681,2.095,8.918,-0.455,1.192,-7.45,7.282,0.275,0.139,0.983,1.0,-0.496,-1.358
0.776,-0.91,0.853,1.18,-0.427,0.547,0.954,-0.407,-1.118,2.079,8.617,-0.049,1.179,-6.462,6.982,0.532,0.675,0.783,1.0,-0.906,-1.085
0.422,0.053,0.94,0.689,-0.227,1.013,1.301,-1.343,-0.787,2.367,9.171,-0.156,1.237,-7.774,7.605,0.377,0.081,0.854,1.0,-0.373,-1.41
0.876,-0.772,0.815,0.655,-0.268,0.718,1.024,-0.336,-1.254,2.407,9.074,-0.208,1.189,-7.191,7.79,0.327,0.752,0.891,1.0,-1.166,-1.342
0.701,-1.295,0.93,1.05,0.04,0.269,1.226,-0.013,-1.229,2.834,9.061,0.058,1.004,-6.214,7.859,0.616,0.89,0.711,1.0,-1.236,-0.85
0.657,-0.338,0.321,0.767,-0.046,0.691,1.084,-0.673,-1.023,1.439,8.195,-0.371,1.067,-7.172,7.74,0.362,0.09,0.742,1.0,-0.773,-1.206
0.875,-0.866,0.692,0.804,0.003,0.76,0.758,-0.166,-1.419,2.255,8.937,-0.097,1.18,-6.671,7.775,0.197,0.635,0.69,1.0,-1.357,-1.093
0.842,-0.564,0.796,0.795,-0.065,0.312,0.99,-0.686,-1.065,2.224,8.998,-0.264,1.003,-6.987,7.662,0.15,0.349,0.853,1.0,-0.762,-0.78
0.621,-0.266,0.768,0.837,-0.237,0.656,1.327,-0.845,-0.836,2.291,9.252,-0.228,1.247,-7.552,7.994,0.588,0.345,0.976,1.0,-0.621,-1.036
0.768,-0.704,0.745,0.479,0.107,0.036,1.234,-0.591,-1.329,3.068,8.763,-0.118,1.123,-6.339,7.966,0.497,0.486,0.662,1.0,-1.248,-0.802
0.794,-0.166,0.631,0.888,-0.215,0.284,1.37,-0.768,-0.857,3.158,9.623,-0.183,1.218,-6.965,7.839,0.389,0.306,1.018,1.0,-0.759,-0.903
0.44,-0.488,0.587,0.714,-0.192,0.97,1.082,-0.723,-1.028,2.79,9.898,-0.378,1.377,-7.863,7.718,0.302,0.385,0.795,1.0,-0.563,-1.487
0.761,-0.1,0.474,0.329,-0.144,0.076,1.19,-0.704,-1.017,2.018,8.031,-0.362,1.233,-6.62,7.437,0.53,0.288,1.036,1.0,-0.962,-0.886
0.674,-0.328,0.465,0.713,-0.188,0.931,1.186,-0.458,-1.013,2.581,9.092,-0.43,1.023,-7.226,7.348,0.424,0.237,0.791,1.0,-0.82,-1.327
0.666,0.224,0.702,0.653,-0.217,0.622,1.239,-1.224,-0.58,2.392,8.881,-0.142,1.332,-7.415,7.734,0.567,0.093,1.041,1.0,-0.438,-1.105
0.61,-0.737,0.638,0.573,0.09,0.505,1.635,-0.351,-1.194,4.338,9.818,-0.059,1.348,-6.39,8.04,0.537,0.597,0.675,1.0,-1.262,-0.807
0.707,-0.368,0.81,0.817,-0.05,0.407,1.008,-0.728,-0.96,1.976,8.354,-0.259,1.319,-6.711,7.435,0.362,0.281,0.812,1.0,-0.877,-1.125
0.677,-0.54,0.974,0.678,-0.1,0.205,1.211,-0.512,-1.274,2.802,8.848,-0.104,1.186,-6.446,7.911,0.717,0.65,0.911,1.0,-1.037,-0.828
0.791,-0.089,0.275,0.643,-0.023,-0.111,0.953,-0.653,-0.946,1.628,7.642,-0.499,1.065,-6.669,7.822,0.229,-0.013,0.81,1.0,-0.927,-0.658
0.735,-0.767,0.734,1.056,-0.144,0.623,0.942,-0.619,-1.135,3.08,9.61,-0.095,1.14,-6.934,7.782,0.156,0.469,0.875,1.0,-0.961,-1.161
0.626,0.019,0.372,0.598,-0.074,0.369,1.519,-0.902,-0.755,3.053,8.794,-0.223,1.271,-6.898,7.543,0.821,0.066,0.824,1.0,-0.579,-0.867
0.799,-0.418,1.005,0.697,-0.358,0.643,1.094,-0.88,-0.985,3.111,9.81,-0.188,1.181,-7.552,7.923,0.341,0.382,0.788,1.0,-0.646,-1.299
1.14,-0.325,0.399,0.585,-0.179,0.411,1.274,-0.463,-1.141,3.056,8.916,-0.096,1.351,-6.729,7.734,0.267,0.182,0.758,1.0,-0.976,-0.859
0.925,-0.594,0.596,0.81,-0.035,0.636,0.782,-0.545,-1.235,1.483,8.565,-0.153,1.092,-7.327,8.048,0.097,0.33,0.914,1.0,-0.759,-1.23
0.921,-0.369,0.498,0.705,-0.158,0.042,1.441,-0.629,-0.957,3.349,9.062,0.028,0.996,-6.418,7.932,0.769,0.366,0.894,1.0,-1.052,-0.548
0.849,-0.938,0.797,0.883,0.029,0.484,1.46,-0.134,-1.218,3.817,9.223,-0.188,1.123,-5.901,7.007,0.729,0.675,0.796,1.0,-1.155,-1.07
1.148,-0.29,0.429,0.552,-0.009,0.42,1.367,-0.459,-1.147,3.188,9.306,-0.379,1.081,-7.071,7.898,0.186,0.095,1.061,1.0,-1.078,-1.0
0.875,-0.527,0.907,0.287,-0.047,0.84,1.41,-0.78,-1.211,3.179,9.124,-0.334,1.321,-6.715,7.469,0.471,0.513,0.993,1.0,-1.067,-1.15
0.863,-0.83,0.884,0.707,0.228,0.041,1.174,-0.393,-1.167,2.608,8.49,0.228,1.391,-6.01,7.518,0.856,0.565,0.672,1.0,-0.983,-0.781
0.758,-0.642,0.546,0.942,-0.414,0.671,1.153,-0.43,-1.074,2.581,9.551,-0.332,1.273,-7.77,8.022,0.423,0.326,0.607,1.0,-0.934,-1.482
0.798,-0.607,0.753,1.08,-0.112,0.143,1.29,-0.458,-0.916,3.348,9.199,-0.117,1.27,-6.37,7.698,0.686,0.379,0.773,1.0,-0.961,-0.679
0.857,-0.477,0.828,0.72,-0.12,0.631,1.393,-0.658,-1.096,2.565,9.088,-0.222,1.297,-6.997,7.852,0.501,0.492,0.733,1.0,-1.008,-1.064
0.811,-0.565,0.411,0.661,0.057,0.541,1.068,-0.339,-1.076,2.71,9.342,-0.355,1.304,-7.034,7.944,0.256,0.438,0.952,1.0,-1.126,-1.12
0.653,-0.037,0.726,0.456,0.099,0.639,1.372,-0.833,-0.824,1.79,8.27,-0.375,1.225,-7.394,7.83,0.589,0.045,0.668,1.0,-0.754,-1.054
0.838,-0.192,0.326,0.698,-0.255,0.67,1.262,-0.829,-0.876,2.424,8.907,-0.169,1.21,-7.385,7.749,0.334,-0.042,0.89,1.0,-0.796,-1.11
0.609,-0.117,1.085,0.794,-0.352,0.808,1.274,-0.9,-0.903,2.693,9.288,-0.002,0.922,-7.455,7.986,0.289,0.42,1.009,1.0,-0.533,-1.075
0.773,-0.041,0.331,0.359,-0.119,1.055,1.342,-0.865,-0.968,2.772,8.759,-0.194,1.307,-7.225,7.164,0.392,0.14,0.912,1.0,-0.54,-1.3
0.781,-0.454,0.949,0.717,-0.305,0.773,1.453,-0.803,-1.006,3.252,10.117,-0.405,1.17,-7.645,7.561,0.521,0.393,0.79,1.0,-0.692,-1.297
0.565,-0.051,0.841,0.541,-0.09,0.655,1.291,-0.767,-0.866,2.818,8.991,-0.346,1.305,-7.168,7.548,0.446,0.204,0.826,1.0,-0.806,-1.156
0.721,0.161,0.953,0.32,-0.088,0.677,1.228,-1.026,-0.757,1.919,8.432,-0.269,0.987,-7.39,7.59,0.339,0.077,0.957,1.0,-0.562,-1.221
0.666,-0.568,0.847,0.787,0.235,0.537,0.925,-0.604,-1.114,1.567,8.492,-0.051,1.09,-6.888,7.892,0.309,0.529,1.074,1.0,-0.844,-1.07
0.638,0.001,0.709,0.874,-0.417,1.389,1.518,-1.049,-0.913,3.917,10.307,-0.396,1.157,-7.9,7.0,0.482,0.079,1.112,1.0,-0.308,-1.743
0.746,-0.137,0.361,0.616,-0.193,0.166,1.647,-0.799,-0.915,3.391,9.074,-0.463,1.071,-6.908,7.887,0.793,0.053,0.976,1.0,-0.974,-0.692
0.563,-0.633,0.937,1.028,-0.185,0.628,1.043,-0.56,-1.026,2.638,9.564,-0.072,1.203,-7.253,7.484,0.449,0.646,0.67,1.0,-0.782,-1.459
0.783,-0.219,0.617,0.506,0.324,-0.295,1.194,-0.679,-0.833,1.875,7.264,0.112,0.944,-5.6,7.593,0.57,0.413,0.994,1.0,-0.868,-0.336
0.849,-0.676,0.94,0.986,0.045,0.038,0.781,-0.33,-1.091,1.347,7.962,0.148,1.19,-6.259,7.897,0.319,0.707,0.939,1.0,-0.987,-0.673
0.883,-0.138,0.716,0.622,-0.252,0.765,1.332,-0.957,-0.821,2.202,8.906,-0.285,1.363,-7.466,7.633,0.283,0.188,0.643,1.0,-0.652,-1.402
0.598,-0.922,1.083,1.065,-0.067,0.742,1.379,-0.438,-1.134,2.738,9.476,-0.007,1.075,-6.865,7.684,0.478,0.763,0.663,1.0,-1.006,-1.245
0.657,-0.361,0.875,0.585,-0.282,0.93,1.053,-1.072,-1.006,2.485,8.909,-0.171,1.175,-7.072,7.288,0.334,0.431,0.689,1.0,-0.685,-1.363
0.641,-0.889,0.988,1.102,-0.191,0.763,0.722,-0.598,-1.272,1.954,8.771,-0.227,1.177,-6.748,7.508,0.004,0.731,0.797,1.0,-0.857,-1.294
0.846,-0.736,0.808,0.657,-0.003,0.26,1.233,-0.492,-1.055,2.503,8.771,-0.024,1.328,-6.525,7.573,0.635,0.537,0.99,1.0,-0.885,-0.876
0.343,0.034,0.61,0.702,-0.494,1.148,1.185,-1.029,-0.88,2.194,9.359,-0.189,1.027,-8.215,8.028,0.337,0.28,0.726,1.0,-0.41,-1.549
0.841,-0.576,0.403,0.924,-0.346,1.111,1.543,-0.468,-1.144,4.279,11.1,-0.278,1.187,-7.752,7.926,0.352,0.352,1.078,1.0,-0.764,-1.385
0.56,0.08,0.672,0.51,-0.167,0.855,1.177,-1.202,-0.744,2.13,8.832,-0.297,1.1,-7.606,7.358,0.476,0.064,0.805,1.0,-0.347,-1.412
0.735,-0.627,0.647,0.816,-0.245,1.046,1.151,-0.546,-1.001,2.703,9.897,-0.234,1.254,-7.925,8.048,0.272,0.475,0.774,1.0,-0.669,-1.553
0.626,0.001,0.783,0.753,-0.189,0.71,1.373,-1.036,-0.788,2.469,8.927,-0.164,1.221,-7.42,7.961,0.442,0.03,0.841,1.0,-0.677,-1.089
0.796,-0.664,0.767,0.799,-0.013,0.349,0.99,-0.487,-1.234,2.625,8.965,-0.148,1.22,-6.564,7.825,0.312,0.541,0.763,1.0,-1.042,-0.81
0.644,-0.849,1.048,0.725,-0.085,0.978,1.16,-0.602,-1.145,3.138,10.11,-0.184,1.116,-7.493,7.483,0.201,0.69,0.955,1.0,-0.656,-1.461
0.785,-0.125,0.536,0.661,0.042,0.093,1.178,-0.627,-0.849,3.045,8.983,-0.276,1.189,-6.698,7.571,0.559,0.181,0.835,1.0,-0.925,-0.681
0.487,-0.605,0.914,0.895,-0.182,0.49,0.948,-0.627,-1.12,2.453,8.712,-0.088,1.307,-6.654,7.141,0.288,0.485,0.93,1.0,-0.847,-1.094
0.686,-0.349,0.363,0.663,0.274,-0.361,1.576,-0.726,-0.876,3.7,8.957,-0.194,1.347,-6.114,7.677,0.981,0.081,1.074,1.0,-0.766,-0.317
0.871,-0.804,0.617,0.656,-0.007,0.395,1.495,-0.317,-1.232,3.294,9.461,-0.049,1.2,-6.599,7.863,0.567,0.611,0.672,1.0,-1.115,-1.036
0.605,-0.766,0.752,1.15,-0.199,0.869,0.808,-0.684,-1.127,2.284,10.059,-0.235,1.125,-7.903,7.979,0.132,0.412,0.816,1.0,-0.729,-1.444
0.506,-0.168,0.644,0.755,-0.146,0.502,1.47,-0.916,-0.76,3.278,9.919,-0.146,1.179,-7.447,7.904,0.902,0.156,0.824,1.0,-0.673,-1.08
0.763,-0.625,0.584,0.683,-0.184,0.672,1.296,-0.589,-1.237,3.263,9.746,-0.33,1.244,-7.47,7.834,0.461,0.341,0.601,1.0,-0.919,-1.292
0.433,-0.313,0.827,0.972,-0.131,0.656,1.076,-0.864,-0.763,1.452,8.435,-0.112,1.114,-7.337,7.738,0.413,0.365,0.976,1.0,-0.455,-1.115
0.578,-0.44,0.724,0.704,-0.267,0.323,1.015,-0.83,-0.931,1.609,8.029,-0.358,1.164,-6.683,7.254,0.453,0.296,0.969,1.0,-0.83,-1.049
0.66,-0.099,0.826,0.715,-0.284,0.635,1.226,-0.915,-0.923,2.587,9.029,-0.125,1.115,-6.975,7.314,0.519,0.352,0.976,1.0,-0.844,-1.213
0.306,0.339,0.49,0.418,-0.282,0.744,1.26,-1.446,-0.569,2.487,8.38,-0.03,1.406,-7.316,7.565,0.565,-0.261,0.786,1.0,-0.25,-1.031
0.836,-0.822,0.861,0.955,-0.243,0.66,0.91,-0.388,-1.33,1.979,8.749,-0.147,1.124,-6.766,7.504,0.302,0.641,0.713,1.0,-1.059,-1.209
0.871,-0.341,0.624,0.369,0.118,0.069,1.502,-0.588,-1.233,3.162,8.417,-0.326,0.849,-6.035,6.868,0.715,0.256,0.857,1.0,-0.989,-0.822
0.478,-0.209,0.59,0.652,-0.498,1.122,0.875,-0.816,-1.074,0.994,8.306,-0.09,1.246,-7.825,7.878,0.196,0.317,0.744,1.0,-0.597,-1.412
0.883,-0.952,1.031,0.855,-0.091,0.852,0.901,-0.559,-1.243,2.381,9.352,-0.089,0.999,-7.388,8.044,0.074,0.827,0.992,1.0,-0.843,-1.18
0.702,0.182,0.78,0.642,0.025,0.434,1.564,-1.324,-0.611,2.48,9.195,-0.302,1.323,-7.293,7.529,0.751,0.011,0.843,1.0,-0.466,-1.086
0.592,-0.308,0.793,0.558,-0.094,0.608,1.047,-0.551,-1.005,2.608,8.934,-0.149,1.118,-6.825,7.463,0.442,0.517,0.771,1.0,-0.821,-1.175
0.558,-0.683,0.846,0.819,-0.253,1.08,0.91,-0.731,-1.225,2.419,10.279,-0.376,1.176,-8.245,7.801,0.332,0.44,0.935,1.0,-0.587,-1.728
0.674,-0.663,0.524,0.735,-0.27,1.383,1.267,-0.574,-1.055,2.793,9.953,-0.163,0.985,-8.069,7.831,0.18,0.323,0.72,1.0,-0.631,-1.589
0.647,0.541,0.451,0.294,-0.142,0.841,1.741,-1.361,-0.634,3.386,9.313,-0.205,1.204,-7.341,7.264,0.61,-0.08,1.081,1.0,-0.298,-1.345
0.983,-0.328,0.718,0.612,0.03,0.5,1.301,-0.517,-1.157,3.067,9.088,-0.329,1.201,-6.769,7.928,0.377,0.393,0.715,1.0,-1.095,-0.929
0.372,-0.816,0.545,1.034,-0.305,0.86,1.074,-0.373,-0.985,2.265,9.609,-0.171,1.283,-7.701,7.643,0.283,0.65,0.86,1.0,-0.622,-1.469
0.875,-0.662,0.921,0.837,-0.148,0.869,1.084,-0.706,-1.033,1.931,9.183,-0.172,1.186,-7.587,7.659,0.235,0.501,0.609,1.0,-0.691,-1.486
0.704,-0.491,0.426,0.686,-0.245,0.912,0.895,-0.594,-1.263,1.713,8.857,-0.204,1.112,-7.622,7.971,0.149,0.279,0.882,1.0,-0.904,-1.59
0.665,-0.559,1.095,0.802,-0.171,0.886,1.017,-0.609,-1.033,1.857,9.232,-0.296,1.222,-7.684,7.612,0.26,0.813,0.902,1.0,-0.772,-1.462
0.872,-0.232,0.654,0.345,-0.017,0.459,1.035,-0.424,-1.08,1.94,7.774,-0.196,1.185,-6.49,7.344,0.216,0.166,0.821,1.0,-1.148,-1.124
0.966,-0.95,0.694,0.676,-0.072,0.007,1.191,0.041,-1.306,2.626,7.767,0.087,1.046,-5.574,7.651,0.432,0.599,0.728,1.0,-1.485,-0.564
0.865,-0.185,0.698,0.642,-0.18,0.421,0.972,-0.782,-0.936,1.36,7.782,-0.287,1.223,-6.776,7.57,0.351,0.211,0.752,1.0,-0.877,-0.98
0.754,-0.781,0.649,0.599,0.092,0.077,0.852,-0.439,-1.193,1.669,8.405,0.002,1.165,-6.646,7.999,0.544,0.617,0.615,1.0,-1.089,-0.812
0.774,-0.183,0.621,0.428,0.156,0.206,1.524,-0.859,-0.926,2.976,8.988,0.049,1.155,-6.849,7.805,0.598,0.254,0.975,1.0,-0.657,-0.915
0.684,-0.234,0.422,0.701,-0.092,0.387,1.547,-0.804,-0.874,3.753,9.216,-0.111,1.048,-6.445,7.373,0.502,0.066,0.977,1.0,-0.874,-0.898
0.617,-0.524,0.917,0.581,-0.143,0.644,1.419,-0.649,-1.071,3.312,9.631,-0.063,1.192,-6.999,7.473,0.678,0.603,0.658,1.0,-0.943,-1.309
0.782,-0.549,0.503,0.929,-0.138,0.627,0.865,-0.318,-1.101,2.456,9.359,0.126,1.237,-7.064,8.052,-0.005,0.322,0.694,1.0,-0.985,-1.141
0.708,-0.552,0.657,0.75,-0.19,0.881,1.031,-0.575,-1.207,1.942,8.541,-0.359,1.187,-7.015,7.097,0.331,0.435,1.058,1.0,-0.941,-1.394
0.947,-0.372,0.785,0.609,0.058,0.033,0.853,-0.485,-1.073,1.883,7.581,0.1,1.007,-5.961,7.503,0.415,0.395,0.647,1.0,-0.852,-0.571
0.903,-0.071,0.217,0.689,-0.29,0.945,1.171,-0.961,-0.802,2.429,8.931,-0.315,1.177,-7.35,7.509,0.347,-0.076,0.973,1.0,-0.511,-1.16
0.811,-0.575,1.172,0.825,-0.228,1.302,1.031,-0.781,-1.215,2.663,10.319,-0.233,0.986,-8.072,8.043,0.105,0.67,0.84,1.0,-0.725,-1.766
0.652,-0.22,0.66,0.566,-0.215,0.983,1.149,-0.721,-1.106,2.863,9.359,-0.186,1.223,-7.399,7.251,0.275,0.216,0.955,1.0,-0.641,-1.542
0.649,-0.361,0.737,0.79,-0.219,0.903,1.102,-0.681,-0.898,2.085,9.42,-0.196,1.005,-7.81,7.692,0.125,0.315,0.807,1.0,-0.573,-1.661
0.859,-0.385,0.443,0.722,-0.271,0.61,1.569,-0.584,-1.0,3.697,9.585,-0.2,1.353,-6.935,7.803,0.622,0.248,0.634,1.0,-1.004,-1.037
0.552,0.035,0.54,0.753,-0.142,1.453,1.351,-0.94,-0.781,2.731,10.474,-0.202,1.272,-8.561,7.732,0.21,0.084,0.83,1.0,-0.377,-2.014
0.737,-0.998,0.701,0.943,-0.161,1.063,1.011,-0.456,-1.215,2.98,9.804,-0.295,1.165,-7.213,7.603,0.114,0.612,0.78,1.0,-0.873,-1.367
0.875,-0.159,0.891,0.758,-0.133,0.44,1.178,-0.653,-0.793,1.758,8.59,-0.53,1.17,-7.302,7.69,0.418,0.387,0.947,1.0,-0.833,-1.026
0.492,-0.459,0.778,0.744,0.006,0.587,1.157,-0.906,-1.103,2.733,9.071,-0.068,1.006,-7.159,7.799,0.347,0.357,0.866,1.0,-0.585,-1.133
1.159,-0.484,0.466,0.689,-0.128,0.505,0.959,-0.478,-1.122,1.774,8.369,-0.288,1.094,-7.0,7.982,0.084,0.214,0.896,1.0,-1.041,-1.089
0.819,-0.269,0.345,0.979,-0.184,0.538,1.428,-0.637,-0.73,3.315,9.898,-0.286,1.071,-7.339,7.736,0.678,0.182,0.875,1.0,-0.533,-1.019
0.73,-0.314,0.596,0.56,-0.093,0.594,0.912,-0.55,-0.924,1.597,8.258,-0.104,1.158,-7.206,7.937,0.366,0.173,0.9,1.0,-0.759,-1.051
0.654,-0.608,0.855,0.907,-0.346,0.963,1.016,-0.561,-1.071,2.213,9.639,-0.273,1.103,-7.866,7.798,0.072,0.436,0.946,1.0,-0.698,-1.353
0.502,-0.685,0.549,0.751,-0.155,0.573,0.933,-0.228,-1.075,1.545,8.45,-0.286,0.958,-7.094,7.608,0.16,0.377,0.895,1.0,-0.802,-1.006
